long_name,uncertainty,tas uncertainty,degC
56247,1954,0.2277,0.1278
56612,1955,0.1466,0.1271
56977,1956,0.0803,0.1000
57343,1957,0.3103,0.0848
57708,1958,0.3288,0.0814
58073,1959,0.2987,0.0823
58438,1960,0.2319,0.0727
58804,1961,0.3309,0.0669
59169,1962,0.2864,0.0712
59534,1963,0.3139,0.0696
59899,1964,0.0431,0.0623
60265,1965,0.1430,0.0666
60630,1966,0.1999,0.0651
60995,1967,0.2296,0.0618
61360,1968,0.1813,0.0625
61726,1969,0.3175,0.0560
62091,1970,0.2612,0.0556
62456,1971,0.1412,0.0567
62821,1972,0.2551,0.0562
63187,1973,0.3977,0.0560
63552,1974,0.1766,0.0571
63917,1975,0.2393,0.0572
64282,1976,0.1345,0.0612
64648,1977,0.4504,0.0612
65013,1978,0.3508,0.0594
65378,1979,0.4334,0.0449
65743,1980,0.5368,0.0468
66109,1981,0.5922,0.0486
66474,1982,0.3762,0.0573
66839,1983,0.5661,0.0524
67204,1984,0.3913,0.0512
67570,1985,0.3913,0.0483
67935,1986,0.4376,0.0473
68300,1987,0.5835,0.0457
68665,1988,0.6229,0.0506
69031,1989,0.5202,0.0531
69396,1990,0.7003,0.0520
69761,1991,0.6791,0.0508
70126,1992,0.4653,0.0535
70492,1993,0.5064,0.0574
70857,1994,0.5727,0.0537
71222,1995,0.7164,0.0500
71587,1996,0.6161,0.0504
71953,1997,0.7603,0.0492
72318,1998,0.9172,0.0505
72683,1999,0.6633,0.0511
73048,2000,0.6708,0.0510
73414,2001,0.8287,0.0527
73779,2002,0.8824,0.0481
74144,2003,0.8835,0.0486
74509,2004,0.8077,0.0486
74875,2005,0.9476,0.0471
75240,2006,0.9116,0.0464
75605,2007,0.9308,0.0458
75970,2008,0.8045,0.0477
76336,2009,0.9353,0.0456
76701,2010,1.0189,0.0454
77066,2011,0.8779,0.0449
77431,2012,0.9168,0.0486
77797,2013,0.9639,0.0510
78162,2014,1.0131,0.0477
