Conventions,G,BADC-CSV,1
title,G,Global mean temperature
last_revised_date,G,2026-03-17
date_valid,G,2026-03-17
feature_type,G,area average
creator,G,WMO
source,G,Produced by climind version 1.3.0
observation_station,G,derived data
location,G,90.,-180.,-90.,180.
activity,G,WMO
history,G,"Data set created from file ['Global_TAVG_monthly.txt'] downloaded from ['https://storage.googleapis.com/berkeley-earth-temperature-hr/global/Global_TAVG_monthly.txt'] at ['2026-01-22 15:38:43']"
history,G,"Rebaselined to 1981-2010 for each month separately by calculating the arithmetic mean of the data over the baseline period and subtracting the mean from all data values. This is done for each month separately (Januarys, Februarys etc)."
history,G,"Calculated annual average from monthly averages using arithmetic mean"
history,G,"Selected years within the range 1850 to 2025."
history,G,"Added offset of 0.69 to all data values."
history,G,"Manually changed baseline to 1850-1900. Note that data values remain unchanged."
reference,G,"Rohde, R. A. and Hausfather, Z.: The Berkeley Earth Land/Ocean Temperature Record, Earth Syst. Sci. Data, 12, 3469-3479, https://doi.org/10.5194/essd-12-3469-2020, 2020"
rights,G,TBD
comments,G,Data produced by climind version 1.3.0
comments,G,Format description https://help.ceda.ac.uk/article/105-badc-csv
comments,G,"Original data acknowledgement: "
long_name,time,time,days since 1800-01-01 00:00:00.0
type,time,int
long_name,year,year,1
type,year,int
long_name,data,tas,degC
type,data,float
long_name,uncertainty,tas uncertainty,degC
64648,1977,0.4551,0.0620
65013,1978,0.3291,0.0611
65378,1979,0.4126,0.0593
65743,1980,0.5482,0.0558
66109,1981,0.5837,0.0653
66474,1982,0.3782,0.0687
66839,1983,0.5566,0.0629
67204,1984,0.3873,0.0627
67570,1985,0.3661,0.0670
67935,1986,0.4656,0.0507
68300,1987,0.5741,0.0520
68665,1988,0.6176,0.0474
69031,1989,0.5016,0.0533
69396,1990,0.6996,0.0470
69761,1991,0.6831,0.0530
70126,1992,0.4833,0.0574
70492,1993,0.5216,0.0627
70857,1994,0.5816,0.0577
71222,1995,0.7476,0.0633
71587,1996,0.6288,0.0475
71953,1997,0.7620,0.0467
72318,1998,0.9075,0.0606
72683,1999,0.6651,0.0597
73048,2000,0.6641,0.0514
73414,2001,0.8153,0.0556
73779,2002,0.8985,0.0519
74144,2003,0.8829,0.0549
74509,2004,0.8049,0.0594
74875,2005,0.9740,0.0480
75240,2006,0.9196,0.0548
75605,2007,0.9156,0.0529
75970,2008,0.7886,0.0597
76336,2009,0.9244,0.0536
76701,2010,1.0008,0.0566
77066,2011,0.8781,0.0522
77431,2012,0.9036,0.0546
77797,2013,0.9242,0.0611
78162,2014,0.9881,0.0627
78527,2015,1.1516,0.0653
78892,2016,1.2870,0.0600
79258,2017,1.1876,0.0550
79623,2018,1.1066,0.0603
79988,2019,1.2259,0.0536
80353,2020,1.2643,0.0655
80719,2021,1.1112,0.0735
81084,2022,1.1592,0.0665
81449,2023,1.4679,0.0654
81814,2024,1.5399,0.0663
82180,2025,1.4396,0.0664
end data
